990,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1000,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1010,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1020,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1030,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1040,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1050,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1060,PuriPipette,PuriPipette, , 
1070,PuriPipette,PuriPipette, , 
1080,PuriPipette,PuriPipette, , 
1090,PuriPipette,PuriPipette, , 
1100,PuriPipette,PuriPipette, , 
1110, , ,PuriPipette,PuriPipette
1120, , ,PuriPipette,PuriPipette
1130, , ,PuriPipette,PuriPipette
1140, , ,PuriPipette,PuriPipette
1150, , ,PuriPipette,PuriPipette
1160,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1170,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1180,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1190,PuriTime,PuriTime,PuriTime,PuriTime
1200,PuriTime,PuriTime,PuriTime,PuriTime
1210,PuriTime,PuriTime,PuriTime,PuriTime
1220,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1230,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1240,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1250,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1260,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1270,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1280,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1290,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1300,PuriPipette,PuriPipette, , 
1310,PuriPipette,PuriPipette, , 
1320,PuriPipette,PuriPipette, , 
1330,PuriPipette,PuriPipette, , 
1340,PuriPipette,PuriPipette, , 
1350, , ,PuriPipette,PuriPipette
1360, , ,PuriPipette,PuriPipette
1370, , ,PuriPipette,PuriPipette
1380, , ,PuriPipette,PuriPipette
1390, , ,PuriPipette,PuriPipette
1400,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1410,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1420,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1430,PuriTime,PuriTime,PuriTime,PuriTime
1440,PuriTime,PuriTime,PuriTime,PuriTime
1450,PuriTime,PuriTime,PuriTime,PuriTime
1460,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1470,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1480,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1490,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1500,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1510,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1520,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1530,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1540,PuriPipette,PuriPipette, , 
1550,PuriPipette,PuriPipette, , 
1560,PuriPipette,PuriPipette, , 
1570,PuriPipette,PuriPipette, , 
1580,PuriPipette,PuriPipette, , 
1590, , ,PuriPipette,PuriPipette
1600, , ,PuriPipette,PuriPipette
1610, , ,PuriPipette,PuriPipette
1620, , ,PuriPipette,PuriPipette
1630, , ,PuriPipette,PuriPipette
1640,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1650,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1660,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1670,PuriTime,PuriTime,PuriTime,PuriTime
1680,PuriTime,PuriTime,PuriTime,PuriTime
1690,PuriTime,PuriTime,PuriTime,PuriTime
1700,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1710,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1720,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1730,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1740,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1750,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1760,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1770,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1780,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1790,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1800,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1810,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1820,PuriPipette,PuriPipette,PuriPipette,PuriPipette
1830,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1840,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1850,PuriMoveTube,PuriMoveTube,PuriMoveTube,PuriMoveTube
1860,PuriShake,PuriShake,PuriShake,PuriShake
1870,PuriShake,PuriShake,PuriShake,PuriShake
1880,PuriShake,PuriShake,PuriShake,PuriShake
1890,PuriShake,PuriShake,PuriShake,PuriShake
1900,PuriShake,PuriShake,PuriShake,PuriShake
1910,PuriShake,PuriShake,PuriShake,PuriShake
1920,PuriShake,PuriShake,PuriShake,PuriShake
1930,PuriShake,PuriShake,PuriShake,PuriShake
1940,PuriShake,PuriShake,PuriShake,PuriShake
1950,PuriShake,PuriShake,PuriShake,PuriShake
1960,PuriShake,PuriShake,PuriShake,PuriShake
1970,PuriShake,PuriShake,PuriShake,PuriShake
1980,PuriShake,PuriShake,PuriShake,PuriShake
1990,PuriShake,PuriShake,PuriShake,PuriShake
2000,PuriShake,PuriShake,PuriShake,PuriShake
2010,PuriShake,PuriShake,PuriShake,PuriShake
2020,PuriShake,PuriShake,PuriShake,PuriShake
2030,PuriShake,PuriShake,PuriShake,PuriShake
2040,PuriShake,PuriShake,PuriShake,PuriShake
2050,PuriShake,PuriShake,PuriShake,PuriShake
2060,PuriShake,PuriShake,PuriShake,PuriShake
2070,PuriShake,PuriShake,PuriShake,PuriShake
2080,PuriShake,PuriShake,PuriShake,PuriShake
