num_reads sequence_decoded
51.28 	100.00%
38.46 	100.00%
25.64 	100.00%
20.51 	60.33%
15.38  	54.35%
7.69  	50.27%
5.13  	42.93%
2.56  	26.90%
1.28  	22.83%
